Ranking,Title,Year,Duration,Classification,Rating,Numbers
1,The Shawshank Redemption,1994,2h 22m,R,9.3,2.8M
2,The Godfather,1972,2h 55m,R,9.2,2M
3,The Dark Knight,2008,2h 32m,PG-13,9.0,2.8M
4,The Godfather Part II,1974,3h 22m,R,9.0,1.3M
5,12 Angry Men,1957,1h 36m,Approved,9.0,838K
6,Schindler's List,1993,3h 15m,R,9.0,1.4M
7,The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0,1.9M
8,Pulp Fiction,1994,2h 34m,R,8.9,2.2M
9,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.8,2M
10,"The Good, the Bad and the Ugly",1966,2h 58m,Approved,8.8,793K
11,Forrest Gump,1994,2h 22m,PG-13,8.8,2.2M
12,Fight Club,1999,2h 19m,R,8.8,2.2M
13,The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8,1.7M
14,Inception,2010,2h 28m,PG-13,8.8,2.5M
15,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7,1.3M
16,The Matrix,1999,2h 16m,R,8.7,2M
17,Goodfellas,1990,2h 25m,R,8.7,1.2M
18,One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7,1M
19,Se7en,1995,2h 7m,R,8.6,1.7M
20,It's a Wonderful Life,1946,2h 10m,PG,8.6,481K
21,Seven Samurai,1954,3h 27m,Not Rated,8.6,360K
22,Interstellar,2014,2h 49m,PG-13,8.7,2M
23,The Silence of the Lambs,1991,1h 58m,R,8.6,1.5M
24,Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.7,285K
25,Saving Private Ryan,1998,2h 49m,R,8.6,1.5M
26,City of God,2002,2h 10m,R,8.6,785K
27,Life Is Beautiful,1997,1h 56m,PG-13,8.6,726K
28,The Green Mile,1999,3h 9m,R,8.6,1.4M
29,Star Wars: Episode IV - A New Hope,1977,2h 1m,PG,8.6,1.4M
30,Terminator 2: Judgment Day,1991,2h 17m,R,8.6,1.1M
31,Back to the Future,1985,1h 56m,PG,8.5,1.3M
32,Spirited Away,2001,2h 5m,PG,8.6,816K
33,The Pianist,2002,2h 30m,R,8.5,884K
34,Psycho,1960,1h 49m,R,8.5,703K
35,Parasite,2019,2h 12m,R,8.5,898K
36,Gladiator,2000,2h 35m,R,8.5,1.6M
37,The Lion King,1994,1h 28m,G,8.5,1.1M
38,Léon: The Professional,1994,1h 50m,R,8.5,1.2M
39,American History X,1998,1h 59m,R,8.5,1.2M
40,The Departed,2006,2h 31m,R,8.5,1.4M
41,Whiplash,2014,1h 46m,R,8.5,941K
42,The Prestige,2006,2h 10m,PG-13,8.5,1.4M
43,The Usual Suspects,1995,1h 46m,R,8.5,1.1M
44,Grave of the Fireflies,1988,1h 29m,Not Rated,8.5,298K
45,Harakiri,1962,2h 13m,Not Rated,8.6,65K
46,Casablanca,1942,1h 42m,PG,8.5,594K
47,Oppenheimer,2023,3h,R,8.5,472K
48,The Intouchables,2011,1h 52m,R,8.5,904K
49,Modern Times,1936,1h 27m,G,8.5,254K
50,Cinema Paradiso,1988,2h 35m,PG,8.5,276K
51,Once Upon a Time in the West,1968,2h 46m,PG-13,8.5,343K
52,Rear Window,1954,1h 52m,PG,8.5,511K
53,Alien,1979,1h 57m,R,8.5,925K
54,City Lights,1931,1h 27m,G,8.5,192K
55,Apocalypse Now,1979,2h 27m,R,8.4,695K
56,Memento,2000,1h 53m,R,8.4,1.3M
57,Django Unchained,2012,2h 45m,R,8.5,1.6M
58,Raiders of the Lost Ark,1981,1h 55m,PG,8.4,1M
59,WALL·E,2008,1h 38m,G,8.4,1.2M
60,The Lives of Others,2006,2h 17m,R,8.4,403K
61,Sunset Blvd.,1950,1h 50m,Passed,8.4,232K
